a,b,reason,notes
6b1d293c3b6f823c497b7513350cd853434a0237,dddcfb914b23e8a1032a7099fe003a5dfb0af97b,preprint_publication_pair,Images-to-graphs: arXiv 1411.6880 preprint vs Frontiers DOI 10.3389/fninf.2015.00020; missed by automatic title similarity (framework vs Pipeline)
e1d90fe8f1f2db0241fc690ab1886d05d604d64f,861b30dfe6e069b7d57f65cc0217f1edaea9dc43,near_duplicate_manual,both-core auto-audit tj=0.889 seq=0.956 aj=1.0; ACM SIGPLAN Symposium on Principles & Pr <-> IEEE Conference on High Performance Extr; 'High-throughput image alignment for connectomics using fruga' / 'High-Throughput Image Alignment for Connectomics using Fruga'
e737798e303538f89fca4ccbe4ea28afbb3647e4,ee8f3f44fa05ef4ab6e04a78eb22d0b31ba468cc,preprint_publication_pair,both-core auto-audit tj=0.889 seq=0.962 aj=0.857; Nature <-> bioRxiv; 'Light-microscopy-based connectomic reconstruction of mammali' / 'Light-microscopy based dense connectomic reconstruction of m'
8d778bef2fba2e8861389fd8594da2efd1af4faf,ceae5ff4efda04d322fa3deef1bf7c56021cefea,preprint_publication_pair,both-core auto-audit tj=0.857 seq=0.931 aj=0.889; Science <-> bioRxiv; 'Spatial and morphological organization of mitochondria in ne' / 'Spatial and morphological organization of mitochondria acros'
018d74a19bf95002636252e2c2e4846d25508b8e,71504dfdc928a6fafce9f1ac1baf2401e6d413cb,preprint_publication_pair,both-core auto-audit tj=0.857 seq=0.82 aj=1.0; Nature Communications <-> bioRxiv; 'Comparative connectomics of dauer reveals developmental plas' / 'Mind of a dauer: Comparative connectomics reveals developmen'
464f47639f630711eeb8eec0b964b6fe922e232b,e0daedfb9f720e14b4c08afccfdeedcd69749d5f,preprint_publication_pair,both-core auto-audit tj=0.846 seq=0.939 aj=0.857; Proceedings of the National Academy of S <-> arXiv.org; 'Symmetries and synchronization from whole-neural activity in' / 'Symmetries and synchronization from whole-neural activity in'
042a2efbae458d720431e1e92de8e6ae1e086496,1c91aa3f4ffd43a93fa524e74ec49e46f4b5d9f8,preprint_publication_pair,both-core auto-audit tj=0.846 seq=0.91 aj=1.0; Science Advances <-> bioRxiv; '3D reconstruction of the cerebellar germinal layer reveals t' / '3D reconstruction of the cerebellar germinal layer reveals i'
a1b95104ddb7801ac58528225e24f9c48a915820,8943de6c17be093379ab45862e928ff5cafb6a0e,preprint_publication_pair,both-core auto-audit tj=0.833 seq=0.939 aj=1.0; eLife <-> bioRxiv; 'Cell-type specific innervation of cortical pyramidal cells a' / 'Cell-type specific innervation of cortical pyramidal cells a'
717a87eaaba61930e455858d1a6bfa1145ea70f5,9911ea8e41da7084b7eddcf885071e93dbceb2b9,preprint_publication_pair,both-core auto-audit tj=0.818 seq=0.954 aj=1.0; Nature Communications <-> bioRxiv; 'Center-surround interactions underlie bipolar cell motion se' / 'Center-surround interactions underlie bipolar cell motion se'
61b16b2f8726274a5dd5b4d69561863cc12676ac,5b79c3e1c985651f0a9d126aef473092d2cfdc42,preprint_publication_pair,both-core auto-audit tj=0.8 seq=0.938 aj=1.0; iScience <-> bioRxiv; 'Asymmetry in synaptic connectivity balances redundancy and r' / 'Asymmetry in synaptic connectivity balances redundancy and r'
7d78806e5413a68bc6869a3eac9f94a01bb75282,8245e990ff2a8794608fc6e8913d6e5fee9b7107,preprint_publication_pair,"both-core auto-audit tj=0.8 seq=0.927 aj=1.0; PLoS Comput. Biol. <-> bioRxiv; 'Hub connectivity, neuronal diversity, and gene expression in' / 'Hub connectivity, neuronal diversity, and gene expression in'"
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,e4536e25b49c85d2c3f9b5608c0e24516ec6ec35,preprint_publication_pair,both-core auto-audit tj=0.778 seq=0.979 aj=1.0; Nature <-> bioRxiv; 'Social state alters vision using three circuit mechanisms in' / 'Social state gates vision using three circuit mechanisms in '
128c27d32bfd7faea76109017002a70045429d60,b9353bf2cb86fe663273b84f9471c9a24fbdb947,preprint_publication_pair,both-core auto-audit tj=0.778 seq=0.913 aj=1.0; Nature <-> bioRxiv; 'Connectomes across development reveal principles of brain ma' / 'Connectomes across development reveal principles of brain ma'
230329813841dc26ddf3ae61394b085ba9f32c40,9791aa15943ba68217ef1d715a1adf351162347a,preprint_publication_pair,both-core auto-audit tj=0.778 seq=0.855 aj=0.941; Nature <-> bioRxiv; 'Connectomic reconstruction of a female Drosophila ventral ne' / 'Tools for connectomic reconstruction and analysis of a femal'
f4e95b2247964b214cd4c15a3b2f938a8e7c348d,b61bd3213cd93cbfb113434d8e3d0b525536113d,preprint_publication_pair,both-core auto-audit tj=0.75 seq=0.988 aj=0.875; eLife <-> bioRxiv; 'Synaptic and peptidergic connectome of a neurosecretory cent' / 'Synaptic and peptidergic connectome of a neurosecretory cent'
69b0aa2e1fd90a9f689384cd14d9cd662698304e,00a01bf59871e8a25abfc9647d952a75d8b6bff5,preprint_publication_pair,both-core auto-audit tj=0.75 seq=0.927 aj=1.0; Biological Imaging <-> bioRxiv; 'Automatic classification and neurotransmitter prediction of ' / 'Automatic Detection and Neurotransmitter Prediction of Synap'
a0029975d35809084ce5a97ed8bd054147189d84,61ab99cfe86570cf2b8a3c3e7cdadc8654211e68,preprint_publication_pair,"human-review: Bio-protocol ↔ bioRxiv sample-prep; keep higher tier (core), published display"
c67082bbe83aa651b164b3cc61f7972839891215,9506c10b85b97bc2e0876b6d244b8f34b1145864,preprint_publication_pair,"human-review: NetNeuro ↔ bioRxiv Drosophila circuit analysis; higher tier core, published display"
b5605575ca70539dd4268641a95963e5cbc40e4f,58b15936d0bd24af9a99e3b218f827faf2455990,preprint_publication_pair,"human-review: eNeuro ↔ bioRxiv quantitative synapse analysis; higher tier core, published display"
a80b274f61c4f5c65e28a596c01a7c79ce86dad3,ab0bc68089d08f90d3d9b77226c28e889b73e8e9,preprint_publication_pair,"human-review: PLoS CB ↔ arXiv C. elegans premotor model; higher tier core, published display"
06e229166206b78af16786cf3e576036253cc9d3,47c6a8a0d91f02667dc28d708e806b9741fdb37b,preprint_publication_pair,"human-review: bioRxiv ↔ Frontiers Drosophila CX executable model; higher tier core, published display"
6974d7ddacf27152fddaf8e658c753f5e5a3270e,38c52c14a8e668073f1ddb4ccd0f31d73b206a12,preprint_publication_pair,human-review both-inclusive merge: PEEM for connectomics bioRxiv↔PNAS
34313331e3d146173635b7ea4cdec3b648946466,b2e6215542288d10b9d5d1ad21d5b49e31eca742,preprint_publication_pair,human-review both-inclusive merge: tissue expansion light sheet eLife↔bioRxiv
d28e270ea6cac6175a92677efdfc4d48d9075896,52259f849bc887144bca7e9b10fe1acc412d57ad,preprint_publication_pair,human-review both-inclusive merge: SEQUIN Neuron↔bioRxiv
18691c86b7ee818b0e1ccd2a8082a0d66031f53c,18555de7d13ad46f97ac0682e7b007e83e838b64,preprint_publication_pair,human-review both-inclusive merge: primate PFC projectome bioRxiv↔eLife
018e25a060c4ee1b486804249f8d89db65cd2c43,9229237401ee130916a5e27d36df725319813fef,preprint_publication_pair,human-review both-inclusive merge: mouse single-neuron connectome NatMethods↔bioRxiv
641ea2858cf12078d4c7681737f6ddf79fb68e31,5d0a14c66e598ab979214829888098cfd9254fd6,preprint_publication_pair,human-review both-inclusive merge: glioma connectomic characterization preprint↔NIMG abstract
458233f9503e9ebb1ff5be2b2b14fca60d5ad95c,6d33aac17a19bc3f7f47182e16447581bba97dc9,preprint_publication_pair,human-review both-inclusive merge: retrograde barcoded labeling eLife↔bioRxiv
bd8feb1f539b5cdaf17cb4cc9cc2723f75cfbd86,65fd6e6fd9ca4ad247c2e3f07fc55e3f47e7405c,preprint_publication_pair,human-review both-inclusive merge: mouse mesoconnectome Neuroinformatics↔bioRxiv
810a90053fec526400bd04e44a00b688037f983b,08a3c6c8efcb5d67b86787c6deab21fa22debd3d,preprint_publication_pair,human-review both-inclusive merge: surface optimisation physical networks ↔ Nature
684edf582adb405309c9a644cde870cd058078b1,9f50d63db2dd55b2b44f6d5d42a553a2e2be458d,preprint_publication_pair,human-review both-inclusive merge: BAcTrace NatMethods↔bioRxiv
fe90b3cbb030990d5fde334624ad7d2b2b4ddd9a,fd0d07236fed4b8aab30c51ed1f7f7617244f769,preprint_publication_pair,human-review both-inclusive merge: vEM segmentation NatProtocols↔arXiv
14d3ef79fd3a1adb5411b575aeca896a84b013a6,02072982afdd4c6bf28869e68a584372279de1ac,preprint_publication_pair,human-review: Synaptic connectivity two sides of same coin Neuron↔Viewpoint; promote core
fc93f4cdc8c8dc2dfa2f53912744476147cfc2b3,c186d81efab84c7d7a08c37c173a267cd1f5ddc9,preprint_publication_pair,human-review: Optimally controlling human connectome + supplement (#18)
ebbb825e632194283d6b826c1181e82a57313b39,486e9aabf6af516e8d14ec90e5481b340e4a068e,near_duplicate_manual,human-review: Connectome embedding graph spaces (#24)
0e5b3bd5406d40ac95c6e6f2270cf298ddf460f8,49b4c9471682b79fa721b0e1f4f56ef08283c0b9,preprint_publication_pair,human-review: FIB-SEM large-volume connectomics chapter↔bioRxiv (#29)
740ae0dbbb286d55bc25646756ae2bbc08d1d1dd,5595a6806635a1739da13be30b94a8fb99977d04,preprint_publication_pair,title-divergent miss (tj=0.385): Wanner & Friedrich whitening bioRxiv 10.1101/515411 ↔ Nat Neurosci 10.1038/s41593-019-0576-z; merge not drop; additive cites 1+92
aa00eaef1929d0ab5a7375221d70d081c5f21d88,06af11f019e840b520a1c915f777536759aeb53b,preprint_publication_pair,title-divergent miss (tj=0.625): Functional Connectomics in C. elegans preprint 10.20944/preprints201811.0038.v1 ↔ JDB 10.3390/jdb7020008; merge not drop; additive cites 0+16
5311264e388a663aebb6790e33ce5e5e2c062acb,5947e785cd5d31dfc17261b539f370570b92f597,preprint_publication_pair,title-divergent miss (tj=0.765): Feeding Connectome bioRxiv 10.1101/368878 ↔ eLife 10.7554/elife.40247; merge not drop; additive cites 1+57
f6e0aff27c6509d8c669aef86a7c187b0553efa0,db48dd819f9f2fa037869e9edbd891613cb94abe,preprint_publication_pair,human-review both-inclusive merge: unc-4/Groucho cholinergic synapses bioRxiv↔eLife
4eeb0a51ceec1c9df7ec679cbf0130feab72617c,c4d854296b24df0f8931544faf6d44ba459bb9e0,preprint_publication_pair,human-review both-inclusive merge: neuropeptide feeding/reproduction male C. elegans LifeSciAlliance↔bioRxiv
work_415a4588248db885,work_fd10f72811149ab6,"llm-adjudicated-20260826: preprint/published pair, same team",Photoemission electron microscopy for connectomics <> Photoemission electron microscopy for connectomics
work_5195056df2e1ac52,work_765885bfc2367645,llm-adjudicated-20260826: same contribution across venues (v3 dedup rule),High-throughput image alignment for connectomics u <> High-Throughput Image Alignment for Connectomics u
work_8113f64b1f73cab5,work_fbb388f2bf949e98,"llm-adjudicated-20260826: preprint/published pair, same team",Rapid reconstruction of neural circuits using tiss <> Rapid reconstruction of neural circuits using tiss
work_1bae2d5ef9d946b4,work_6b02e0bfc896d222,"llm-adjudicated-20260826: preprint/published pair, same team",Light-microscopy-based connectomic reconstruction  <> Light-microscopy based dense connectomic reconstru
work_067df68ce507c51a,work_beeea6a851b4fed9,"llm-adjudicated-20260826: preprint/published pair, same team",SEQUIN multiscale imaging of mammalian central syn <> SEQUIN multiscale imaging of mammalian central syn
work_11cea989f9393837,work_f069030f2c4c92b6,"llm-adjudicated-20260826: preprint/published pair, same team",Electron Microscopy Sample Preparation Protocol En <> Sample preparation protocol enabling nano-to-mesos
work_288f739dc6052fba,work_71228bbacae77900,"llm-adjudicated-20260826: preprint/published pair, same team",Mapping brain-wide excitatory projectome of primat <> Mapping brain-wide excitatory projectome of primat
work_09199ea5f61eb458,work_2485ee1dcda00821,"llm-adjudicated-20260826: preprint/published pair, same team",Spatial and morphological organization of mitochon <> Spatial and morphological organization of mitochon
work_cd0b5754cedee65a,work_fc13e114cf7d06ac,"llm-adjudicated-20260826: preprint/published pair, same team",Comparative connectomics of dauer reveals developm <> Mind of a dauer: Comparative connectomics reveals 
work_34fc25940f548ef5,work_c53582f26bc149ef,"llm-adjudicated-20260826: preprint/published pair, same team",Reconstruction of a connectome of single neurons i <> Reconstruct a Connectome of Single Neurons in Mous
work_4e2150beaf4899c9,work_e1c1c0111e3437e4,llm-adjudicated-20260826: conference-abstract version of same study,"Genetic, Cellular, and Connectomic Characterizatio <> NIMG-13. GENETIC, CELLULAR, AND CONNECTOMIC CHARAC"
work_6922548bd6668b06,work_a91dd32f1e156d6b,"llm-adjudicated-20260826: preprint/published pair, same team",Symmetries and synchronization from whole-neural a <> Symmetries and synchronization from whole-neural a
work_6a4f0f39d4def518,work_d0d0574327b29c36,"llm-adjudicated-20260826: preprint/published pair, same team",3D reconstruction of the cerebellar germinal layer <> 3D reconstruction of the cerebellar germinal layer
work_5b8a9817f078c45d,work_bd2ccf370cd8d95a,"llm-adjudicated-20260826: preprint/published pair, same team",High-throughput mapping of single-neuron projectio <> High-throughput mapping of single-neuron projectio
work_401c89a6385f9a3d,work_b65ed95337b7dc26,"llm-adjudicated-20260826: preprint/published pair, same team",Cell-type specific innervation of cortical pyramid <> Cell-type specific innervation of cortical pyramid
work_57740b7642ad74b1,work_988afa930dd686a5,"llm-adjudicated-20260826: preprint/published pair, same team",Center-surround interactions underlie bipolar cell <> Center-surround interactions underlie bipolar cell
work_40fc999a7afe7d1d,work_e94cc5e67a4cfa4e,"llm-adjudicated-20260826: preprint/published pair, same team",Prediction of a Cell-Class-Specific Mouse Mesoconn <> Prediction of a cell-type specific mouse mesoconne
work_171372e1aa47365c,work_2fb4d7c6fc7d1a14,"llm-adjudicated-20260826: preprint/published pair, same team",Asymmetry in synaptic connectivity balances redund <> Asymmetry in synaptic connectivity balances redund
work_754bce12dda22d66,work_76f78823e1d94096,"llm-adjudicated-20260826: preprint/published pair, same team","Hub connectivity, neuronal diversity, and gene exp <> Hub connectivity, neuronal diversity, and gene exp"
work_09cad265abcc12f6,work_57acd5b918a0ef71,"llm-adjudicated-20260826: preprint/published pair, same team",Circuit analysis of the Drosophila brain using con <> Circuit analysis of the Drosophila brain using con
work_12d8761a63328240,work_f5cd0f9a22de661a,"llm-adjudicated-20260826: preprint/published pair, same team",Social state alters vision using three circuit mec <> Social state gates vision using three circuit mech
